1641164400000,0.31
1641168000000,-0.01
1641171600000,-0.07
1641175200000,-1.05
1641178800000,-1.0
1641182400000,0.32
1641186000000,37.55
1641189600000,88.76
1641193200000,122.93
1641196800000,110.17
1641200400000,93.38
1641204000000,90.73
1641207600000,82.37
1641211200000,80.9
1641214800000,80.99
1641218400000,98.05
1641222000000,123.51
1641225600000,148.49
1641229200000,138.0
1641232800000,117.64
1641236400000,117.71
1641240000000,95.95
1641243600000,105.68
1641247200000,95.26
1641250800000,103.7
1641254400000,108.27
1641258000000,105.92
1641261600000,103.41
1641265200000,102.71
1641268800000,114.23
1641272400000,156.91
1641276000000,182.64
1641279600000,178.91
1641283200000,190.0
1641286800000,189.88
1641290400000,182.42
1641294000000,182.46
1641297600000,179.59
1641301200000,179.0
1641304800000,180.93
1641308400000,166.69
1641312000000,189.88
1641315600000,184.94
1641319200000,178.99
1641322800000,156.12
1641326400000,140.92
1641330000000,137.92
1641333600000,97.56
1641337200000,105.31
1641340800000,97.29
1641344400000,84.5
1641348000000,75.38
1641351600000,79.11
1641355200000,94.79
1641358800000,99.16
1641362400000,101.15
1641366000000,129.56
1641369600000,113.37
1641373200000,94.43
1641376800000,98.1
1641380400000,95.68
1641384000000,96.8
1641387600000,107.32
1641391200000,119.48
1641394800000,137.28
1641398400000,148.09
1641402000000,139.88
1641405600000,135.75
1641409200000,119.93
1641412800000,98.09
1641416400000,118.71
1641420000000,99.68
1641423600000,99.85
1641427200000,101.32
1641430800000,110.01
1641434400000,111.55
1641438000000,123.37
1641441600000,149.94
1641445200000,185.92
1641448800000,228.25
1641452400000,228.92
1641456000000,212.9
1641459600000,215.5
1641463200000,231.9
1641466800000,226.0
1641470400000,209.2
1641474000000,216.06
1641477600000,230.77
1641481200000,245.95
1641484800000,274.11
1641488400000,273.44
1641492000000,245.48
1641495600000,226.14
1641499200000,208.31
1641502800000,178.75
1641506400000,124.7
1641510000000,128.92
1641513600000,118.4
1641517200000,103.01
1641520800000,101.91
1641524400000,101.98
1641528000000,114.99
1641531600000,140.19
1641535200000,152.64
1641538800000,160.97
1641542400000,161.85
1641546000000,161.37
1641549600000,166.06
1641553200000,166.54
1641556800000,166.04
1641560400000,169.43
1641564000000,189.7
1641567600000,201.97
1641571200000,243.11
1641574800000,253.81
1641578400000,237.05
1641582000000,224.33
1641585600000,213.81
1641589200000,185.94
1641592800000,148.32
1641596400000,164.17
1641600000000,152.83
1641603600000,166.0
1641607200000,160.86
1641610800000,160.0
1641614400000,154.3
1641618000000,166.0
1641621600000,182.91
1641625200000,215.89
1641628800000,231.0
1641632400000,228.95
1641636000000,215.39
1641639600000,206.68
1641643200000,185.0
1641646800000,169.52
1641650400000,162.8
1641654000000,161.34
1641657600000,189.9
1641661200000,170.71
1641664800000,140.23
1641668400000,102.54
1641672000000,102.18
1641675600000,102.29
1641679200000,90.05
1641682800000,85.03
1641686400000,84.4
1641690000000,80.24
1641693600000,55.46
1641697200000,49.29
1641700800000,50.64
1641704400000,74.29
1641708000000,84.44
1641711600000,97.26
1641715200000,119.97
1641718800000,134.96
1641722400000,149.4
1641726000000,165.13
1641729600000,165.06
1641733200000,170.09
1641736800000,189.04
1641740400000,190.96
1641744000000,223.3
1641747600000,243.94
1641751200000,240.0
1641754800000,230.82
1641758400000,214.02
1641762000000,215.88
1641765600000,203.8
1641769200000,196.23
1641772800000,191.85
1641776400000,195.91
1641780000000,186.66
1641783600000,178.04
1641787200000,191.65
1641790800000,237.44
1641794400000,299.95
1641798000000,313.92
